Name,Description,Entry Type,Unknown #1,Unknown #2,Unknown #3,Icon,Unknown #4,Price,"Equipment",Characters Bitflag,Strength,Vitality,Action,Movement,Effective On,Fire Affinity,Wind Affinity,Earth Affinity,Lightning Affinity,Blizzard Affinity,Ailments Bitflag,Ailments Chance,Increase Fire %,Increase Wind %,Increase Earth %,Increase Lightning %,Increase Blizzard %,Increase Water %,Increase Explosion %,Increase Forest %,Special,"Usable",Target Effect,Target Type,Power,Range,Cast Time,Recovery Time,Animation,Effective On,Unknown #1,IP Damage,IP Cancel Damage,Knockback,Element,Element Strength,Ailments Bitflag,Ailments Chance,Attack Mod,Defense Mod,Action Mod,Movement Mod,Break Chance,Special,Unknown #2,Unknown #3
                  ,                                        ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Date 8/16,Debug Item          ,Perm. Stat Modifier(?),3,44,44,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,100,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,0,72,0,0
        Debug Item,Debug Item          ,Perm. Stat Modifier(?),3,44,44,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,50,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,0,73,0,0
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Roan's Medal,A memento of Roan's mother      ,Valuable,3,53,53,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Poff Nut,A fuzzy nut  Not edible         ,Valuable,3,44,44,44,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Missanga,Returns SC used on Mareg's moves ,Special,3,53,53,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Special,Unknown,0,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,74,0,0
        Xô|óœðwñ²ñ,‹öë÷                ,Valuable,3,53,53,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Adventure Book,Lets you learn combat skills       ,Skillbook,3,51,51,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown 1,,,,,,,,,,,,,,,,,,,,,,,,,
   Book of Wizards,Lets you learn wizardry skills     ,Skillbook,3,51,51,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown 2,,,,,,,,,,,,,,,,,,,,,,,,,
  Book of Warriors,Lets you learn warrior skills      ,Skillbook,3,51,51,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown 3,,,,,,,,,,,,,,,,,,,,,,,,,
   Book of Priests,Lets you learn priestly skills     ,Skillbook,3,51,51,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown 4,,,,,,,,,,,,,,,,,,,,,,,,,
     Book of Gales,Lets you learn wind-control skills ,Skillbook,3,51,51,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown 5,,,,,,,,,,,,,,,,,,,,,,,,,
    Book of Swords,Lets you learn swordsmanship skills ,Skillbook,3,51,51,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown 6,,,,,,,,,,,,,,,,,,,,,,,,,
       Book of War,Lets you learn martial art skills  ,Skillbook,3,51,51,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown 7,,,,,,,,,,,,,,,,,,,,,,,,,
     Book of Sages,Lets you learn magical skills      ,Skillbook,3,51,51,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown 8,,,,,,,,,,,,,,,,,,,,,,,,,
  Book of Learning,A textbook used in tutorials       ,Skillbook,3,51,51,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown 9,,,,,,,,,,,,,,,,,,,,,,,,,
         ,                    ,NULL,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seed of Life,+10 Maximum HP                      ,Perm. Stat Modifier(?),3,44,44,44,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,10,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,63,0,0
    Seed of Spells,+10 Maximum MP                      ,Perm. Stat Modifier(?),3,44,44,44,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,10,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,64,0,0
     Seed of Moves,+10 Maximum SP                      ,Perm. Stat Modifier(?),3,44,44,44,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,10,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,65,0,0
     Seed of Power,+3 STR                              ,Perm. Stat Modifier(?),3,44,44,44,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,3,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,66,0,0
   Seed of Defense,+3 VIT                              ,Perm. Stat Modifier(?),3,44,44,44,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,3,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,67,0,0
     Seed of Swift,+3 AGI                              ,Perm. Stat Modifier(?),3,44,44,44,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,3,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,68,0,0
   Seed of Running,+3 SPD                              ,Perm. Stat Modifier(?),3,44,44,44,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,3,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,69,0,0
     Seed of Magic,+3 MAG                              ,Perm. Stat Modifier(?),3,44,44,44,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,3,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,70,0,0
    Seed of Psyche,+3 MEN                              ,Perm. Stat Modifier(?),3,44,44,44,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,3,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,71,0,0
   All-Around Seed,+10 Maximum HP/Maximum MP/Maximum SP ,Perm. Stat Modifier(?),3,44,44,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,10,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,72,0,0
   Omnipotent Seed,+3 STR/VIT/AGI/SPD/MAG/MEN          ,Perm. Stat Modifier(?),3,44,44,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Special,One Ally,3,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,73,0,0
     Lore of Moves,+1000 Special Coins (SC)            ,Special,3,53,53,53,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,Special,Unknown,1000,0,0,0,Physical Attack,NULL,0,0,0,0,Fire,0,0,0,0,0,0,0,100,61,0,0
