d01		big foot
d02		huge catapillar
d03		chameleon
d04		granas knight
d06		frost frog
d07		star mirage
d08		giga mantis
d09		fenny bird
d10		crag snake
d12		hammerhead
d13		burham minotaur
d14		troglodyte
d16		twin ogre
d17		warp warrior
d18		mottled spider
d19		man-eating tree
d20		crimson claw
d21		land cougar
d22		sandman
d23		crimson tail
d24		skill snail
d25		clay bird
d26		hellhound
d27		ghoul
d28		brain bat
d29		gargoyle
d30		dragonoid
d31		naga queen
d34		valmar young
d35		valmar fly
		TU_1
		TU_2
		TU_3
		TU_4
		TU_5
		














d51		yeti
d52		venomous larva
d53		salamadile

d56		flame toad
d57		immune cell
d58		giant mantis
d59		dodo
d60		pit viper
d62		dino freezer
d63		leck guarder
d64		scaly warrior
d66		nyarmot
d67		ancient warrior
d68		tarantula
d69		killer tree
d70		giant crab
d71		snow leopard
d72		desert diver
d73		dual fist
d74		evil maneuver
d75		emerald bird
d76		death doberman
d77		mind eater
d78		vein brain
d79		devil
d80		dragon knight
d81		guardian
d84		velmar magna
d85		valmar moth




















f01		millenia
f02		beast-man
f03		eyeball bat
f04		tio clone
f05		millenia





z01		valmar's tounge
z01a	right hand
z01b	left hand
z01c	head






z02		valmar's eye
z02a	right tendril
z02b	left tendril
z02c	eyeball bat






z03		valmar's claw
z03a	right arm
z03b	left arm







z04		melfice
z04a	sword
z04b	regenerator







z05		valmar's body
z05a	right tentacle
z05b 	left tentacle







z06		valmar's heart
z06a	left eye
z06b	right eye







z07		egg guardian
z07a	bit








z08		valmar core
z08a	middle head
z09b	right head
z09c	left head






z09		zera valmar(A4F0)



















z01		valmar's tongue(second)(A4FC)
z01a	right hand(second)
z01b	left hand(second)
z01c	head(second)






z02		valmar's eye(second)(A4F8)
z02a	right tendril(second)
z02b	left tendril(second)
z02c	eyeball bat(second)
















z04		melfice(first)(6880)
z04a	sword(first)
z04b	regenerator(first)


















z06		valmar's heart(second)(A4F4)
z06a	left eye(second)
z06b	right eye(second)







